"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 08월 13일","47,842.0","44,423.0","47,866.0","44,276.0","7.39K","7.70%"
"2021년 08월 12일","44,423.0","45,546.0","46,185.0","43,789.0","5.64K","-2.47%"
"2021년 08월 11일","45,546.0","45,612.0","46,725.0","45,358.0","4.32K","-0.14%"
"2021년 08월 10일","45,612.0","46,291.0","46,674.0","44,644.0","6.37K","-1.47%"
"2021년 08월 09일","46,293.0","43,770.0","46,432.2","42,792.0","10.72K","5.76%"
"2021년 08월 08일","43,770.0","44,589.0","45,249.0","43,300.0","8.16K","-1.84%"
"2021년 08월 07일","44,589.0","42,830.0","44,689.2","42,464.0","9.32K","4.11%"
"2021년 08월 06일","42,830.0","40,887.0","43,294.0","39,933.0","6.46K","4.75%"
"2021년 08월 05일","40,887.0","39,741.0","41,352.0","37,361.0","6.43K","2.85%"
"2021년 08월 04일","39,754.0","38,219.0","39,965.0","37,564.0","3.67K","4.05%"
"2021년 08월 03일","38,207.0","39,156.0","39,774.0","37,700.0","5.08K","-2.42%"
"2021년 08월 02일","39,156.0","39,922.0","40,441.0","38,716.0","4.62K","-1.92%"
"2021년 08월 01일","39,922.0","41,409.0","42,532.0","39,596.0","9.11K","-3.59%"
"2021년 07월 31일","41,409.0","42,169.0","42,317.0","41,051.0","5.07K","-1.80%"
"2021년 07월 30일","42,169.0","40,034.4","42,244.0","38,373.0","7.77K","5.31%"
"2021년 07월 29일","40,041.0","40,004.0","40,623.0","39,282.0","4.07K","0.09%"
"2021년 07월 28일","40,004.0","39,563.0","40,899.0","38,822.0","7.98K","1.11%"
"2021년 07월 27일","39,563.0","37,296.0","39,563.0","36,436.0","6.04K","6.08%"
"2021년 07월 26일","37,296.0","35,422.0","40,515.6","35,276.0","16.31K","5.34%"
"2021년 07월 25일","35,407.0","34,620.0","35,430.0","33,906.0","2.78K","4.62%"
"2021년 07월 24일","33,845.0","33,597.1","34,043.0","33,422.0","3.34K","0.74%"
"2021년 07월 23일","33,597.1","32,320.0","33,625.3","32,020.0","3.97K","3.95%"
"2021년 07월 22일","32,320.0","32,141.0","32,609.7","31,747.0","5.23K","0.56%"
"2021년 07월 21일","32,141.0","29,806.1","32,804.0","29,545.0","8.25K","7.83%"
"2021년 07월 20일","29,806.1","30,847.0","31,075.0","29,341.0","8.88K","-3.37%"
"2021년 07월 19일","30,847.0","31,824.0","31,924.0","30,514.0","12.80K","-3.07%"
"2021년 07월 18일","31,824.0","31,559.0","32,427.0","31,211.8","12.41K","0.84%"
"2021년 07월 17일","31,559.0","31,427.0","31,975.0","31,224.0","13.71K","0.41%"
"2021년 07월 16일","31,429.0","31,875.0","32,266.0","31,055.0","5.38K","-1.34%"
"2021년 07월 15일","31,857.0","32,822.6","33,194.0","31,170.0","6.96K","-2.94%"
"2021년 07월 14일","32,822.6","32,727.0","33,117.0","31,596.0","5.19K","0.29%"
"2021년 07월 13일","32,727.0","33,090.0","33,333.0","32,210.0","4.02K","-1.10%"
"2021년 07월 12일","33,090.0","34,239.0","34,624.0","32,616.0","8.41K","-3.36%"
"2021년 07월 11일","34,239.0","33,506.0","34,584.0","33,317.0","2.15K","2.19%"
"2021년 07월 10일","33,506.0","33,769.0","34,221.0","33,024.0","6.46K","-0.78%"
"2021년 07월 09일","33,769.0","32,873.9","34,044.0","32,574.0","6.66K","2.72%"
"2021년 07월 08일","32,873.9","33,886.0","33,939.0","32,063.0","14.29K","-2.99%"
"2021년 07월 07일","33,886.0","34,256.0","35,076.0","33,826.0","3.51K","-0.74%"
"2021년 07월 06일","34,140.0","33,668.0","34,858.8","33,668.0","8.81K","1.40%"
"2021년 07월 05일","33,668.0","35,289.0","35,289.0","33,479.2","7.72K","-4.59%"
"2021년 07월 04일","35,289.0","35,494.0","35,782.0","35,289.0","2.93K","1.53%"
"2021년 07월 03일","34,758.0","33,816.0","34,762.0","33,561.6","2.89K","2.79%"
"2021년 07월 02일","33,816.0","33,554.4","33,924.0","32,727.0","5.15K","0.78%"
"2021년 07월 01일","33,554.4","35,043.5","35,043.5","32,821.0","5.82K","-4.25%"
"2021년 06월 30일","35,043.5","35,895.9","35,981.0","34,754.0","3.45K","-2.37%"
"2021년 06월 29일","35,895.9","34,484.0","36,411.0","34,316.7","5.51K","4.09%"
"2021년 06월 28일","34,484.0","34,717.0","35,168.0","34,152.0","6.18K","-0.67%"
