날짜,전세자금대출
2016-01-01,36.72316
2016-02-01,36.10218
2016-03-01,33.83406
2016-04-01,29.52183
2016-05-01,32.46693
2016-06-01,33.90159
2016-07-01,33.33552
2016-08-01,39.31742
2016-09-01,35.33901
2016-10-01,39.02752
2016-11-01,36.3262
2016-12-01,41.42247
2017-01-01,48.22904
2017-02-01,45.81706
2017-03-01,39.9609
2017-04-01,33.3778
2017-05-01,37.63897
2017-06-01,37.57583
2017-07-01,37.9975
2017-08-01,48.14888
2017-09-01,39.92906
2017-10-01,48.18072
2017-11-01,45.49038
2017-12-01,41.78979
2018-01-01,57.60131
2018-02-01,47.0398
2018-03-01,54.90548
2018-04-01,44.71787
2018-05-01,44.60531
2018-06-01,41.86446
2018-07-01,44.64869
2018-08-01,68.34565
2018-09-01,61.46442
2018-10-01,61.51054
2018-11-01,52.09819
2018-12-01,52.95361
2019-01-01,72.1868
2019-02-01,66.03361
2019-03-01,60.81325
2019-04-01,53.11228
2019-05-01,58.54677
2019-06-01,54.40474
2019-07-01,60.02591
2019-08-01,65.90568
2019-09-01,74.36598
2019-10-01,72.41356
2019-11-01,66.49701
2019-12-01,74.3237
2020-01-01,89.94855
2020-02-01,77.34951
2020-03-01,82.12515
2020-04-01,76.62751
2020-05-01,77.37257
2020-06-01,94.88011
2020-07-01,97.69509
2020-08-01,88.60612
2020-09-01,74.63721
2020-10-01,86.14364
2020-11-01,85.16853
2020-12-01,81.59641
2021-01-01,96.00896
2021-02-01,78.01716
2021-03-01,80.85025
2021-04-01,67.24371
2021-05-01,71.8398
2021-06-01,67.95473
2021-07-01,70.8334
2021-08-01,100.0
2021-09-01,82.4952
