,btc_krw,btc_usd,krw_usd_er,btc_krw_binace,btc_krw_premium,btc_krw_transaction,crypto_krw_transaction
2021-01-31,36516000,33094.3,1114.6,36886906.78,-370906.7800000012,37727405100811.62,60442038150492.8
2021-02-28,54363000,45106.7,1108.4,49996266.28,4366733.719999999,36429080715387.3,59262323660990.33
2021-03-31,72067000,58744.8,1133.5,66587230.800000004,5479769.1999999955,34497606298887.734,58060838399977.03
2021-04-30,68695000,57700.6,1107.4,63897644.440000005,4797355.559999995,40308860296946.86,80380960563528.05
2021-05-31,43466000,37297.5,1116.0,41624010.0,1841990.0,45156022854957.805,104856785029287.77
2021-06-30,39060000,35021.5,1130.0,39574295.0,-514295.0,24336053220372.71,51594920797513.62
2021-07-31,47822000,41553.7,1147.4,47678715.38,143284.61999999732,12647944080010.176,27240207294029.92
2021-08-31,55345000,47130.4,1164.4,54878637.760000005,466362.23999999464,23476560526544.445,53781218395410.69
2021-09-30,57080000,43822.5,1184.9,51925280.25000001,5154719.749999993,19359062310749.293,45641982133803.39
2021-10-31,73073000,61300.4,1171.7,71825678.68,1247321.3199999928,28985178479984.492,63689999625828.75
2021-11-30,71913000,56864.4,1193.4,67861974.96000001,4051025.0399999917,27360637073294.758,64805093069289.22
2021-12-31,57236000,46224.4,1185.5,54799026.2,2436973.799999997,20451813097992.96,50858699960561.72
