기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q1,60대,남자,14,0,0
2010Q1,60대,남자,15,809,1
2010Q1,60대,여자,00,82516,305
2010Q1,60대,여자,01,0,0
2010Q1,60대,여자,02,167,1
2010Q1,60대,여자,03,958,2
2010Q1,60대,여자,04,16227,4
2010Q1,60대,여자,05,3099,5
2010Q1,60대,여자,06,4343,5
2010Q1,60대,여자,07,12143,8
2010Q1,60대,여자,08,109523,34
2010Q1,60대,여자,09,361277,77
2010Q1,60대,여자,10,110151,140
2010Q1,60대,여자,11,106806,120
2010Q1,60대,여자,12,106740,354
2010Q1,60대,여자,13,115115,422
2010Q1,60대,여자,14,26499,160
2010Q1,60대,여자,15,557,5
2010Q1,70세 이상,남자,00,26080,74
2010Q1,70세 이상,남자,01,0,0
2010Q1,70세 이상,남자,03,0,0
2010Q1,70세 이상,남자,04,0,0
2010Q1,70세 이상,남자,06,0,0
2010Q1,70세 이상,남자,07,0,0
2010Q1,70세 이상,남자,08,0,0
2010Q1,70세 이상,남자,10,0,0
2010Q1,70세 이상,남자,11,0,0
2010Q1,70세 이상,남자,12,0,0
2010Q1,70세 이상,남자,13,415957,434
2010Q1,70세 이상,남자,14,51537,47
2010Q1,70세 이상,남자,15,0,0
2010Q1,70세 이상,여자,00,10059,73
2010Q1,70세 이상,여자,01,0,0
2010Q1,70세 이상,여자,03,0,0
2010Q1,70세 이상,여자,04,0,0
2010Q1,70세 이상,여자,05,0,0
2010Q1,70세 이상,여자,06,0,0
2010Q1,70세 이상,여자,08,0,0
2010Q1,70세 이상,여자,09,0,0
2010Q1,70세 이상,여자,10,0,0
2010Q1,70세 이상,여자,11,0,0
2010Q1,70세 이상,여자,12,0,0
2010Q1,70세 이상,여자,13,110644,75
2010Q1,70세 이상,여자,14,117322,368
2010Q1,70세 이상,여자,15,142995,219
2010Q2,20대,남자,00,15913,160
2010Q2,20대,남자,01,380,5
2010Q2,20대,남자,02,984,1
2010Q2,20대,남자,03,429,6
2010Q2,20대,남자,04,770,3
2010Q2,20대,남자,05,3482,6
2010Q2,20대,남자,06,3287,4
2010Q2,20대,남자,07,538,7
2010Q2,20대,남자,08,2582,16
2010Q2,20대,남자,09,6201,26
2010Q2,20대,남자,10,73191,56
2010Q2,20대,남자,11,37992,237
2010Q2,20대,남자,12,59309,687
2010Q2,20대,남자,13,33824,978
2010Q2,20대,남자,14,9465,106
2010Q2,20대,남자,15,1760,42
2010Q2,20대,여자,00,24167,216
2010Q2,20대,여자,01,358,4
2010Q2,20대,여자,02,0,0
2010Q2,20대,여자,03,189,4
2010Q2,20대,여자,04,0,0
2010Q2,20대,여자,05,57,1
2010Q2,20대,여자,06,466,2
2010Q2,20대,여자,07,1014,5
2010Q2,20대,여자,08,2277,6
2010Q2,20대,여자,09,2054,19
2010Q2,20대,여자,10,5654,22
2010Q2,20대,여자,11,1448,24
2010Q2,20대,여자,12,5569,25
2010Q2,20대,여자,13,12649,45
2010Q2,20대,여자,14,89823,942
2010Q2,20대,여자,15,37574,785
2010Q2,30대,남자,00,307441,1630
2010Q2,30대,남자,01,22794,32
2010Q2,30대,남자,02,11847,14
2010Q2,30대,남자,03,18958,29
2010Q2,30대,남자,04,14310,17
2010Q2,30대,남자,05,71784,39
2010Q2,30대,남자,06,47924,63
2010Q2,30대,남자,07,168050,114
2010Q2,30대,남자,08,301766,476
2010Q2,30대,남자,09,421921,1062
2010Q2,30대,남자,10,407046,1385
2010Q2,30대,남자,11,281681,1081
2010Q2,30대,남자,12,156417,1127
2010Q2,30대,남자,13,18576,228
2010Q2,30대,남자,14,9574,87
2010Q2,30대,남자,15,6763,20
2010Q2,30대,여자,00,209946,1166
2010Q2,30대,여자,01,13585,16
2010Q2,30대,여자,02,884,4
2010Q2,30대,여자,03,75807,18
2010Q2,30대,여자,04,11078,10
2010Q2,30대,여자,05,3875,26
2010Q2,30대,여자,06,22760,25
2010Q2,30대,여자,07,21441,24
2010Q2,30대,여자,08,66513,43
2010Q2,30대,여자,09,107135,173
2010Q2,30대,여자,10,119166,240
2010Q2,30대,여자,11,168701,512
2010Q2,30대,여자,12,119912,546
2010Q2,30대,여자,13,124093,680
2010Q2,30대,여자,14,139120,1150
2010Q2,30대,여자,15,10076,98
2010Q2,40대,남자,00,1118280,2150
2010Q2,40대,남자,01,353132,82
2010Q2,40대,남자,02,121842,39
2010Q2,40대,남자,03,301430,95
2010Q2,40대,남자,04,194980,71
2010Q2,40대,남자,05,302743,119
